Source: https://www.open.nrw/dataset/jahresubersicht-der-dauerzahlstellen-radverkehr-seit-2012-d;;;;;
;;;;;
location;latitude;longitude;;;
02.01.2021;13:15:00;9;16;22;6
02.01.2021;13:30:00;11;10;23;31
02.01.2021;13:45:00;15;22;24;12
02.01.2021;14:00:00;9;32;26;16
02.01.2021;14:15:00;25;29;31;17
02.01.2021;14:30:00;13;25;15;9
02.01.2021;14:45:00;12;18;26;14
02.01.2021;15:00:00;18;15;25;45
02.01.2021;15:15:00;18;23;24;16
02.01.2021;15:30:00;12;14;26;19
02.01.2021;15:45:00;5;18;23;31
02.01.2021;16:00:00;19;14;31;17
02.01.2021;16:15:00;13;13;27;8
02.01.2021;16:30:00;2;6;23;45
02.01.2021;16:45:00;8;13;14;11
02.01.2021;17:00:00;11;7;11;5
02.01.2021;17:15:00;0;5;10;7
02.01.2021;17:30:00;7;4;9;6
02.01.2021;17:45:00;5;4;11;9
02.01.2021;18:00:00;1;0;6;7
02.01.2021;18:15:00;0;4;7;6
02.01.2021;18:30:00;0;1;1;5
02.01.2021;18:45:00;0;0;6;0
02.01.2021;19:00:00;4;2;5;2
02.01.2021;19:15:00;0;3;3;6
02.01.2021;19:30:00;0;1;2;2
02.01.2021;19:45:00;0;0;1;1
02.01.2021;20:00:00;1;1;2;1
02.01.2021;20:15:00;0;1;4;1
02.01.2021;20:30:00;0;0;0;0
02.01.2021;20:45:00;1;1;4;1
02.01.2021;21:00:00;1;0;1;1
02.01.2021;21:15:00;0;0;3;1
02.01.2021;21:30:00;0;0;1;2
02.01.2021;21:45:00;0;4;2;0
02.01.2021;22:00:00;0;0;0;4
02.01.2021;22:15:00;0;0;2;0
02.01.2021;22:30:00;0;0;2;1
02.01.2021;22:45:00;0;0;1;1
02.01.2021;23:00:00;0;0;3;1
02.01.2021;23:15:00;0;1;2;0
02.01.2021;23:30:00;0;1;0;3
02.01.2021;23:45:00;0;0;0;0
03.01.2021;00:00:00;0;0;3;0
03.01.2021;00:15:00;0;0;1;3
03.01.2021;00:30:00;0;0;2;0
03.01.2021;00:45:00;0;0;0;0
03.01.2021;01:00:00;0;0;2;0
03.01.2021;01:15:00;0;0;1;1
03.01.2021;01:30:00;0;0;2;0
03.01.2021;01:45:00;0;0;0;0
03.01.2021;02:00:00;0;0;0;0
03.01.2021;02:15:00;0;0;2;0
03.01.2021;02:30:00;0;0;0;0
03.01.2021;02:45:00;0;0;0;4
03.01.2021;03:00:00;0;0;1;0
03.01.2021;03:15:00;0;0;0;1
03.01.2021;03:30:00;0;0;0;1
03.01.2021;03:45:00;0;0;0;0
03.01.2021;04:00:00;0;0;0;0
03.01.2021;04:15:00;0;0;0;0
03.01.2021;04:30:00;0;0;0;0
03.01.2021;04:45:00;0;0;1;39
03.01.2021;05:00:00;0;0;3;0
03.01.2021;05:15:00;0;0;0;1
03.01.2021;05:30:00;2;0;2;0
03.01.2021;05:45:00;0;0;0;0
03.01.2021;06:00:00;0;0;1;0
03.01.2021;06:15:00;0;0;0;0
03.01.2021;06:30:00;1;0;1;47
03.01.2021;06:45:00;1;0;1;6
03.01.2021;07:00:00;2;0;0;14
03.01.2021;07:15:00;1;1;0;8
03.01.2021;07:30:00;0;0;4;2
03.01.2021;07:45:00;2;0;2;12
03.01.2021;08:00:00;0;0;1;1
03.01.2021;08:15:00;0;2;1;5
03.01.2021;08:30:00;3;5;1;77
03.01.2021;08:45:00;1;0;1;37
03.01.2021;09:00:00;1;2;1;37
03.01.2021;09:15:00;0;5;5;0
03.01.2021;09:30:00;4;5;5;1
03.01.2021;09:45:00;3;5;9;24
03.01.2021;10:00:00;5;0;10;4
03.01.2021;10:15:00;4;13;5;14
03.01.2021;10:30:00;5;11;9;64
03.01.2021;10:45:00;17;3;11;38
03.01.2021;11:00:00;5;12;5;22
03.01.2021;11:15:00;9;17;14;15
03.01.2021;11:30:00;3;12;9;37
03.01.2021;11:45:00;8;5;15;20
03.01.2021;12:00:00;17;14;15;6
03.01.2021;12:15:00;10;12;11;0
03.01.2021;12:30:00;14;23;19;71
03.01.2021;12:45:00;11;20;8;47
03.01.2021;13:00:00;5;8;15;34
03.01.2021;13:15:00;8;12;16;94
03.01.2021;13:30:00;15;12;8;31
03.01.2021;13:45:00;8;8;11;5
03.01.2021;14:00:00;6;18;18;3
03.01.2021;14:15:00;8;8;16;57
03.01.2021;14:30:00;6;14;14;4
03.01.2021;14:45:00;10;14;25;3
03.01.2021;15:00:00;9;11;14;19
03.01.2021;15:15:00;5;13;11;8
03.01.2021;15:30:00;2;15;24;0
03.01.2021;15:45:00;3;13;14;6
03.01.2021;16:00:00;0;5;13;6
03.01.2021;16:15:00;4;6;11;9
03.01.2021;16:30:00;1;6;10;9
03.01.2021;16:45:00;3;4;6;4
03.01.2021;17:00:00;0;3;7;4
03.01.2021;17:15:00;2;1;10;4
03.01.2021;17:30:00;1;2;8;2
03.01.2021;17:45:00;1;2;8;1
03.01.2021;18:00:00;0;2;4;2
03.01.2021;18:15:00;6;2;3;0
03.01.2021;18:30:00;3;0;6;2
03.01.2021;18:45:00;0;0;7;7
03.01.2021;19:00:00;0;0;3;3
03.01.2021;19:15:00;0;0;5;1
03.01.2021;19:30:00;1;0;0;3
03.01.2021;19:45:00;1;0;5;1
03.01.2021;20:00:00;0;0;3;0
03.01.2021;20:15:00;0;2;2;1
03.01.2021;20:30:00;1;0;2;2
03.01.2021;20:45:00;0;2;0;1
03.01.2021;21:00:00;0;0;1;2
03.01.2021;21:15:00;0;2;1;1
03.01.2021;21:30:00;0;0;3;2
03.01.2021;21:45:00;0;0;0;4
03.01.2021;22:00:00;0;0;1;0
03.01.2021;22:15:00;0;0;1;2
03.01.2021;22:30:00;0;0;0;2
03.01.2021;22:45:00;0;0;0;0
03.01.2021;23:00:00;0;0;0;3
03.01.2021;23:15:00;0;3;2;0
03.01.2021;23:30:00;0;0;0;0
03.01.2021;23:45:00;0;0;1;0
04.01.2021;00:00:00;0;0;0;0
04.01.2021;00:15:00;0;0;0;15
04.01.2021;00:30:00;0;0;1;10
04.01.2021;00:45:00;0;0;0;0
04.01.2021;01:00:00;0;1;0;0
04.01.2021;01:15:00;0;0;0;0
04.01.2021;01:30:00;0;0;0;1
04.01.2021;01:45:00;0;0;0;0
04.01.2021;02:00:00;0;0;0;0
04.01.2021;02:15:00;0;0;0;0
04.01.2021;02:30:00;0;0;1;0
04.01.2021;02:45:00;0;0;0;0
04.01.2021;03:00:00;0;2;0;0
04.01.2021;03:15:00;0;0;0;1
04.01.2021;03:30:00;0;0;0;0
04.01.2021;03:45:00;0;0;0;0
04.01.2021;04:00:00;0;1;0;0
04.01.2021;04:15:00;0;0;1;0
04.01.2021;04:30:00;0;1;0;1
04.01.2021;04:45:00;0;3;0;0
04.01.2021;05:00:00;0;1;1;8
04.01.2021;05:15:00;7;2;1;80
04.01.2021;05:30:00;2;2;2;3
04.01.2021;05:45:00;2;4;2;2
04.01.2021;06:00:00;6;3;6;4
04.01.2021;06:15:00;2;3;4;3
04.01.2021;06:30:00;5;6;6;4
04.01.2021;06:45:00;8;1;5;2
04.01.2021;07:00:00;3;4;8;4
04.01.2021;07:15:00;15;8;12;3
04.01.2021;07:30:00;6;7;16;14
04.01.2021;07:45:00;11;5;22;12
04.01.2021;08:00:00;7;3;16;8
04.01.2021;08:15:00;10;3;13;5
04.01.2021;08:30:00;6;0;20;15
04.01.2021;08:45:00;6;1;20;14
04.01.2021;09:00:00;1;2;13;8
04.01.2021;09:15:00;4;2;11;9
04.01.2021;09:30:00;1;3;5;4
04.01.2021;09:45:00;2;1;10;4
04.01.2021;10:00:00;0;2;13;5
04.01.2021;10:15:00;2;0;11;1
04.01.2021;10:30:00;2;8;4;1
04.01.2021;10:45:00;1;5;6;8
04.01.2021;11:00:00;3;0;5;3
04.01.2021;11:15:00;2;3;9;26
04.01.2021;11:30:00;3;0;8;12
04.01.2021;11:45:00;2;3;9;3
04.01.2021;12:00:00;3;4;10;4
04.01.2021;12:15:00;3;3;10;10
04.01.2021;12:30:00;5;7;9;7
04.01.2021;12:45:00;5;6;8;9
04.01.2021;13:00:00;1;7;6;39
04.01.2021;13:15:00;1;5;8;4
04.01.2021;13:30:00;5;4;12;3
04.01.2021;13:45:00;2;5;18;5
04.01.2021;14:00:00;7;3;11;13
04.01.2021;14:15:00;0;2;12;19
04.01.2021;14:30:00;4;3;10;13
04.01.2021;14:45:00;4;7;10;14
04.01.2021;15:00:00;8;4;17;47
04.01.2021;15:15:00;5;8;20;8
04.01.2021;15:30:00;4;3;16;25
04.01.2021;15:45:00;10;7;14;68
04.01.2021;16:00:00;10;13;19;14
04.01.2021;16:15:00;9;10;24;12
04.01.2021;16:30:00;4;6;17;18
04.01.2021;16:45:00;8;11;15;17
04.01.2021;17:00:00;8;6;20;26
04.01.2021;17:15:00;5;3;17;25
04.01.2021;17:30:00;4;8;17;8
04.01.2021;17:45:00;4;6;26;16
04.01.2021;18:00:00;7;7;17;47
04.01.2021;18:15:00;4;1;22;6
04.01.2021;18:30:00;5;1;15;11
04.01.2021;18:45:00;0;3;19;4
04.01.2021;19:00:00;2;3;12;39
04.01.2021;19:15:00;2;4;4;1
04.01.2021;19:30:00;0;3;5;35
04.01.2021;19:45:00;1;4;6;5
04.01.2021;20:00:00;0;1;6;9
04.01.2021;20:15:00;0;5;5;4
04.01.2021;20:30:00;0;2;5;28
04.01.2021;20:45:00;1;0;4;0
04.01.2021;21:00:00;4;2;3;11
04.01.2021;21:15:00;0;2;3;5
04.01.2021;21:30:00;1;0;1;2
04.01.2021;21:45:00;2;3;2;2
04.01.2021;22:00:00;1;1;1;0
04.01.2021;22:15:00;0;1;1;3
04.01.2021;22:30:00;2;2;4;2
04.01.2021;22:45:00;0;1;0;0
04.01.2021;23:00:00;0;0;0;32
04.01.2021;23:15:00;0;0;3;1
04.01.2021;23:30:00;0;0;0;0
04.01.2021;23:45:00;1;0;0;0
05.01.2021;00:00:00;0;0;0;0
05.01.2021;00:15:00;0;0;0;0
05.01.2021;00:30:00;0;1;2;1
05.01.2021;00:45:00;0;0;0;0
05.01.2021;01:00:00;0;0;0;0
05.01.2021;01:15:00;0;0;1;0
05.01.2021;01:30:00;0;1;1;0
05.01.2021;01:45:00;0;0;0;0
05.01.2021;02:00:00;0;0;1;1
05.01.2021;02:15:00;0;0;0;0
05.01.2021;02:30:00;0;0;1;0
05.01.2021;02:45:00;0;0;0;0
05.01.2021;03:00:00;0;1;0;0
05.01.2021;03:15:00;0;0;0;1
05.01.2021;03:30:00;0;0;0;0
05.01.2021;03:45:00;0;1;0;1
05.01.2021;04:00:00;0;2;0;0
05.01.2021;04:15:00;0;0;0;1
05.01.2021;04:30:00;0;0;0;2
05.01.2021;04:45:00;0;4;0;0
05.01.2021;05:00:00;1;2;1;0
05.01.2021;05:15:00;5;1;2;2
05.01.2021;05:30:00;2;2;5;2
05.01.2021;05:45:00;6;3;1;3
05.01.2021;06:00:00;5;4;1;3
05.01.2021;06:15:00;4;3;5;3
05.01.2021;06:30:00;5;4;4;0
05.01.2021;06:45:00;9;3;13;11
05.01.2021;07:00:00;8;4;7;50
05.01.2021;07:15:00;11;7;14;6
05.01.2021;07:30:00;11;3;18;6
05.01.2021;07:45:00;9;8;15;13
05.01.2021;08:00:00;6;6;22;7
05.01.2021;08:15:00;10;2;18;13
05.01.2021;08:30:00;7;1;21;25
05.01.2021;08:45:00;11;2;36;17
05.01.2021;09:00:00;5;3;15;24
05.01.2021;09:15:00;3;6;14;11
05.01.2021;09:30:00;3;5;14;11
05.01.2021;09:45:00;1;1;13;9
05.01.2021;10:00:00;1;3;12;9
05.01.2021;10:15:00;1;1;17;33
05.01.2021;10:30:00;4;2;8;6
05.01.2021;10:45:00;0;4;11;9
05.01.2021;11:00:00;6;4;12;6
05.01.2021;11:15:00;6;3;11;9
05.01.2021;11:30:00;5;5;12;12
05.01.2021;11:45:00;9;6;22;13
05.01.2021;12:00:00;6;3;6;7
05.01.2021;12:15:00;4;4;18;9
05.01.2021;12:30:00;3;2;26;11
05.01.2021;12:45:00;6;9;26;11
05.01.2021;13:00:00;3;4;23;8
05.01.2021;13:15:00;5;5;14;4
05.01.2021;13:30:00;10;11;16;11
05.01.2021;13:45:00;2;7;11;8
05.01.2021;14:00:00;2;10;21;9
05.01.2021;14:15:00;7;6;12;13
05.01.2021;14:30:00;6;11;20;5
05.01.2021;14:45:00;7;8;17;10
05.01.2021;15:00:00;10;5;17;10
05.01.2021;15:15:00;5;7;14;9
05.01.2021;15:30:00;2;12;10;5
05.01.2021;15:45:00;6;3;22;4
05.01.2021;16:00:00;4;5;19;10
05.01.2021;16:15:00;9;10;15;7
05.01.2021;16:30:00;6;8;15;12
05.01.2021;16:45:00;9;5;12;7
05.01.2021;17:00:00;13;8;18;14
05.01.2021;17:15:00;4;6;22;30
05.01.2021;17:30:00;7;2;15;6
05.01.2021;17:45:00;4;8;16;16
05.01.2021;18:00:00;5;8;17;19
05.01.2021;18:15:00;2;7;18;6
05.01.2021;18:30:00;4;6;18;8
05.01.2021;18:45:00;2;3;14;6
05.01.2021;19:00:00;2;2;13;3
05.01.2021;19:15:00;3;0;10;6
05.01.2021;19:30:00;1;1;7;3
05.01.2021;19:45:00;3;1;13;4
05.01.2021;20:00:00;0;3;13;6
05.01.2021;20:15:00;0;1;2;0
05.01.2021;20:30:00;0;4;5;1
05.01.2021;20:45:00;5;1;7;2
05.01.2021;21:00:00;1;2;2;3
05.01.2021;21:15:00;4;0;3;2
05.01.2021;21:30:00;2;0;1;2
05.01.2021;21:45:00;0;4;2;2
05.01.2021;22:00:00;1;2;1;1
05.01.2021;22:15:00;0;1;0;1
05.01.2021;22:30:00;0;2;0;2
05.01.2021;22:45:00;1;0;3;0
05.01.2021;23:00:00;0;0;1;0
05.01.2021;23:15:00;0;1;1;0
05.01.2021;23:30:00;1;1;0;1
05.01.2021;23:45:00;0;0;0;0
06.01.2021;00:00:00;0;0;0;0
06.01.2021;00:15:00;0;0;0;0
06.01.2021;00:30:00;0;1;1;18
06.01.2021;00:45:00;0;0;0;0
06.01.2021;01:00:00;0;0;0;0
06.01.2021;01:15:00;0;2;1;0
06.01.2021;01:30:00;0;0;0;0
06.01.2021;01:45:00;0;0;0;0
06.01.2021;02:00:00;0;0;0;0
06.01.2021;02:15:00;0;0;0;0
06.01.2021;02:30:00;0;0;0;0
06.01.2021;02:45:00;0;0;0;6
06.01.2021;03:00:00;0;1;0;0
06.01.2021;03:15:00;0;0;1;0
06.01.2021;03:30:00;0;0;0;0
06.01.2021;03:45:00;0;0;0;9
06.01.2021;04:00:00;0;1;0;0
06.01.2021;04:15:00;0;0;1;1
06.01.2021;04:30:00;0;0;0;2
06.01.2021;04:45:00;1;4;0;1
06.01.2021;05:00:00;0;2;1;1
06.01.2021;05:15:00;5;0;2;59
06.01.2021;05:30:00;2;1;5;1
06.01.2021;05:45:00;4;1;2;37
06.01.2021;06:00:00;4;3;2;19
06.01.2021;06:15:00;7;2;4;18
06.01.2021;06:30:00;5;2;5;0
06.01.2021;06:45:00;12;1;9;36
06.01.2021;07:00:00;6;5;8;38
06.01.2021;07:15:00;12;7;12;20
06.01.2021;07:30:00;8;4;15;3
06.01.2021;07:45:00;10;6;16;18
06.01.2021;08:00:00;6;3;16;6
06.01.2021;08:15:00;9;5;26;25
06.01.2021;08:30:00;11;2;19;31
06.01.2021;08:45:00;5;0;23;15
06.01.2021;09:00:00;4;4;14;33
06.01.2021;09:15:00;7;6;13;14
06.01.2021;09:30:00;2;5;10;9
06.01.2021;09:45:00;1;1;14;8
06.01.2021;10:00:00;0;3;4;6
06.01.2021;10:15:00;1;3;12;12
06.01.2021;10:30:00;2;9;11;9
06.01.2021;10:45:00;4;4;14;14
06.01.2021;11:00:00;5;1;11;7
06.01.2021;11:15:00;5;6;12;28
06.01.2021;11:30:00;2;2;13;7
06.01.2021;11:45:00;6;6;13;12
06.01.2021;12:00:00;5;6;14;6
06.01.2021;12:15:00;4;5;7;8
06.01.2021;12:30:00;7;11;23;13
06.01.2021;12:45:00;3;9;12;17
06.01.2021;13:00:00;3;2;14;19
06.01.2021;13:15:00;2;6;11;23
06.01.2021;13:30:00;4;10;17;11
06.01.2021;13:45:00;5;3;16;11
06.01.2021;14:00:00;8;9;20;6
06.01.2021;14:15:00;8;11;15;11
06.01.2021;14:30:00;2;3;11;10
06.01.2021;14:45:00;7;9;23;10
06.01.2021;15:00:00;9;5;24;11
06.01.2021;15:15:00;3;6;16;12
06.01.2021;15:30:00;10;7;19;6
06.01.2021;15:45:00;12;5;22;10
06.01.2021;16:00:00;13;16;18;14
06.01.2021;16:15:00;4;9;21;13
06.01.2021;16:30:00;10;10;15;9
06.01.2021;16:45:00;14;7;15;13
06.01.2021;17:00:00;0;14;25;7
06.01.2021;17:15:00;4;6;14;4
06.01.2021;17:30:00;4;6;25;11
06.01.2021;17:45:00;6;4;25;7
06.01.2021;18:00:00;4;3;19;5
06.01.2021;18:15:00;6;1;29;11
06.01.2021;18:30:00;1;9;18;7
06.01.2021;18:45:00;3;0;13;6
06.01.2021;19:00:00;2;4;11;9
06.01.2021;19:15:00;3;3;14;24
06.01.2021;19:30:00;5;1;19;5
06.01.2021;19:45:00;7;1;16;5
06.01.2021;20:00:00;0;2;10;6
06.01.2021;20:15:00;2;2;6;7
06.01.2021;20:30:00;0;1;4;24
06.01.2021;20:45:00;0;1;3;3
06.01.2021;21:00:00;0;1;5;1
06.01.2021;21:15:00;2;3;4;3
06.01.2021;21:30:00;0;1;1;2
06.01.2021;21:45:00;2;2;2;0
06.01.2021;22:00:00;1;1;0;1
06.01.2021;22:15:00;1;3;2;0
06.01.2021;22:30:00;0;1;1;1
06.01.2021;22:45:00;0;0;3;0
06.01.2021;23:00:00;2;1;2;1
06.01.2021;23:15:00;0;0;5;0
06.01.2021;23:30:00;0;0;0;0
06.01.2021;23:45:00;0;0;2;0
07.01.2021;00:00:00;0;0;0;1
07.01.2021;00:15:00;0;0;2;0
07.01.2021;00:30:00;0;1;1;0
07.01.2021;00:45:00;0;1;0;0
07.01.2021;01:00:00;0;0;1;0
07.01.2021;01:15:00;0;0;0;0
07.01.2021;01:30:00;0;0;0;0
07.01.2021;01:45:00;0;0;0;0
07.01.2021;02:00:00;0;0;0;1
07.01.2021;02:15:00;0;0;0;0
07.01.2021;02:30:00;0;0;0;0
07.01.2021;02:45:00;0;0;0;0
07.01.2021;03:00:00;0;1;0;1
07.01.2021;03:15:00;0;0;0;0
07.01.2021;03:30:00;0;0;0;1
07.01.2021;03:45:00;0;1;0;0
07.01.2021;04:00:00;0;0;0;0
07.01.2021;04:15:00;0;0;1;1
07.01.2021;04:30:00;0;0;0;1
07.01.2021;04:45:00;0;3;0;1
07.01.2021;05:00:00;1;2;2;0
07.01.2021;05:15:00;4;3;0;0
07.01.2021;05:30:00;2;3;4;1
07.01.2021;05:45:00;3;5;2;0
07.01.2021;06:00:00;6;1;2;2
07.01.2021;06:15:00;4;2;6;2
07.01.2021;06:30:00;3;4;1;1
07.01.2021;06:45:00;5;0;9;2
07.01.2021;07:00:00;5;3;4;4
07.01.2021;07:15:00;13;6;10;2
07.01.2021;07:30:00;11;1;16;5
07.01.2021;07:45:00;5;11;14;2
07.01.2021;08:00:00;3;5;25;6
07.01.2021;08:15:00;5;2;14;7
07.01.2021;08:30:00;6;1;22;7
07.01.2021;08:45:00;9;1;21;7
07.01.2021;09:00:00;4;3;13;6
07.01.2021;09:15:00;2;2;13;7
07.01.2021;09:30:00;0;6;11;13
07.01.2021;09:45:00;1;3;10;8
07.01.2021;10:00:00;2;4;5;3
07.01.2021;10:15:00;0;2;10;2
07.01.2021;10:30:00;2;2;7;4
07.01.2021;10:45:00;0;2;8;2
07.01.2021;11:00:00;1;4;6;3
07.01.2021;11:15:00;2;2;5;3
07.01.2021;11:30:00;0;1;5;5
07.01.2021;11:45:00;8;1;6;5
07.01.2021;12:00:00;2;2;4;39
07.01.2021;12:15:00;2;2;4;1
07.01.2021;12:30:00;0;4;8;12
07.01.2021;12:45:00;5;5;6;3
07.01.2021;13:00:00;5;2;9;21
07.01.2021;13:15:00;0;3;8;29
07.01.2021;13:30:00;2;6;6;15
07.01.2021;13:45:00;0;2;5;35
07.01.2021;14:00:00;6;3;6;13
07.01.2021;14:15:00;2;4;6;15
07.01.2021;14:30:00;4;3;8;7
07.01.2021;14:45:00;10;4;8;22
07.01.2021;15:00:00;7;4;19;17
07.01.2021;15:15:00;5;5;13;16
07.01.2021;15:30:00;3;8;11;39
07.01.2021;15:45:00;4;3;15;15
07.01.2021;16:00:00;8;5;16;31
07.01.2021;16:15:00;8;7;21;4
07.01.2021;16:30:00;3;9;14;21
07.01.2021;16:45:00;6;6;10;6
07.01.2021;17:00:00;3;11;21;28
07.01.2021;17:15:00;2;4;11;70
07.01.2021;17:30:00;2;6;9;32
07.01.2021;17:45:00;2;4;18;43
07.01.2021;18:00:00;2;2;19;18
07.01.2021;18:15:00;5;3;16;15
07.01.2021;18:30:00;1;4;9;10
07.01.2021;18:45:00;2;7;11;1
